feature,importance
YearBuilt,0.05687240072005521
OverallQual,0.054894803013573704
GrLivArea,0.053479641683008304
TotalSF,0.046114437967927344
OverallCond,0.041233082859733115
2ndFlrSF,0.03376610666510625
MSZoning_C (all),-0.03274547037110993
1stFlrSF,0.031900980615465695
LotArea,0.03117121194780656
Neighborhood_Crawfor,0.023323566470424925
BsmtFinSF1,0.0228537237998398
TotalBsmtSF,0.020911296507616153
Exterior2nd_CmentBd,0.020645346859588926
LandSlope_Sev,-0.019532038485970536
GarageArea,0.0187410628007708
GarageCars,0.018026041600404743
Exterior1st_CemntBd,-0.017494994682266486
RoofStyle_Shed,0.017485533368135905
BsmtFinType2_Missing,-0.017209734673728723
YearRemodAdd,0.016758100451350077
Neighborhood_StoneBr,0.016728412424474728
Exterior1st_MetalSd,0.01656818945793956
Neighborhood_MeadowV,-0.016162304076142428
Exterior1st_BrkFace,0.015877642295477418
Functional_Maj2,-0.01577978574349627
GarageQual_Ex,0.01564503608885876
Condition2_RRAe,-0.01553027956422192
Neighborhood_NridgHt,0.014583182760784437
SaleType_New,0.014545015736576962
KitchenQual_Ex,0.014481527669611869
ScreenPorch,0.013920903489714974
Neighborhood_Edwards,-0.013837732708232244
Exterior1st_Wd Sdng,-0.013561633004017005
MSSubClass,-0.013214790921615927
Heating_Grav,-0.013075305406242474
Exterior2nd_MetalSd,-0.012550956406131141
SaleType_WD,-0.012425451764988635
WoodDeckSF,0.011674018251851475
BsmtExposure_Gd,0.011253085381701815
RoofMatl_Membran,0.010820086491328405
Condition1_Artery,-0.010796106902041976
BsmtCond_Po,0.010779805975448923
BsmtFullBath,0.010670538558557081
Functional_Mod,-0.01052592198760141
Condition1_Norm,0.01025564323095467
GarageCond_Ex,-0.010248269217744407
KitchenAbvGr,-0.010191527721980068
SaleCondition_Abnorml,-0.0101602330147514
Functional_Typ,0.009900367797111889
Functional_Sev,-0.009900327401576092
SaleCondition_Normal,0.009789890640414146
BsmtCond_Missing,0.00953223727352126
BsmtQual_Missing,0.00953223727352126
BsmtFinType1_Missing,0.009532237273521255
MSZoning_RL,0.009189322852114172
GarageCond_Po,0.009129099129788001
Exterior2nd_Wd Sdng,0.008835427171989513
MSZoning_RM,-0.008783851075759453
Neighborhood_Somerst,0.008642389146392794
Exterior2nd_BrkFace,-0.0085933439762782
HeatingQC_Ex,0.008396140149650887
SaleType_ConLD,0.008365214503372652
Neighborhood_NAmes,-0.00823067451899605
MSZoning_FV,0.008217495652352382
BsmtExposure_Missing,-0.008184642469960354
Exterior1st_BrkComm,-0.00808485342125973
HeatingQC_TA,-0.007899115592235778
CentralAir_N,-0.007821489527969095
CentralAir_Y,0.00782148952796909
HalfBath,0.007733640619684823
GarageQual_Fa,-0.0076993764212744354
Condition1_RRAe,-0.0076679137354879485
Neighborhood_Mitchel,-0.007434000342097399
LotConfig_CulDSac,0.007372108045219962
EnclosedPorch,0.007238168950387543
Electrical_Mix,-0.00721231654749746
Foundation_Wood,-0.0070572041864970765
Foundation_Slab,-0.007003130575655657
RoofMatl_Metal,0.0069069875723595025
LandSlope_Mod,0.00683621214719379
LotFrontage,0.006746873111089624
BsmtFinType2_Unf,0.006729541253364907
Neighborhood_NWAmes,-0.006644574671768374
Heating_GasW,0.006643919075073619
HouseStyle_2.5Fin,-0.006625452263146729
BsmtFinType1_GLQ,0.00648296327037475
Foundation_PConc,0.006439219377022944
Neighborhood_BrkSide,0.0062203785036971885
TotalBathrooms,0.006192606884170775
FireplaceQu_Missing,-0.006156233130972638
BldgType_2fmCon,0.0060877355237853575
BsmtQual_Ex,0.006061091685765407
LandContour_Low,-0.005957465508872242
GarageType_2Types,-0.00584481722599551
BldgType_Twnhs,-0.005788078143201612
OpenPorchSF,0.005645608039141311
Neighborhood_OldTown,-0.005593870798544449
Exterior2nd_AsbShng,-0.005530806811471464
BsmtFinSF2,0.00546715082830592
Foundation_BrkTil,-0.005417005642747195
BsmtFinType1_LwQ,-0.005372855958235291
LotConfig_FR2,-0.005272962349824467
HouseStyle_1.5Fin,0.004983421975580254
BsmtCond_Fa,-0.004910536504003007
Foundation_Stone,0.0048761658921985685
RoofMatl_WdShake,-0.004815276443745056
HouseStyle_1Story,-0.00475911042853553
BsmtUnfSF,-0.004742877213975191
Heating_Wall,0.0047207045684720915
FireplaceQu_Gd,0.004677642084517479
Neighborhood_BrDale,-0.004675147340451278
Condition2_Feedr,0.0046744352095357536
BsmtFinType2_BLQ,-0.004662174996738767
BsmtFinType2_GLQ,0.004637690713333099
Condition2_PosA,0.004605800239680197
GarageYrBlt,-0.004583976989493772
LowQualFinSF,0.004460791696059873
Neighborhood_Veenker,0.004440934747346697
PoolArea,0.0044395651470016465
SaleCondition_Partial,-0.004428461028721119
Exterior2nd_Stone,-0.004400304115546966
RoofStyle_Mansard,0.004383992554674847
BsmtFinType2_ALQ,0.0041525519588607685
Condition1_Feedr,-0.004142067855965036
Neighborhood_NoRidge,0.0041334632626382145
BsmtFinType1_Rec,-0.004093752950394585
KitchenQual_Gd,-0.004082274322308236
BsmtFinType1_Unf,-0.004078148985695567
ExterCond_TA,0.00404154599385462
Functional_Maj1,-0.003938031929289166
3SsnPorch,0.0038743948850680095
BsmtExposure_No,-0.003849638943394405
Condition2_PosN,-0.0038180339585983853
Heating_Floor,-0.003809318114262531
HouseStyle_SLvl,0.003789234016166248
ExterCond_Fa,-0.0037656195554004713
Fireplaces,0.0037632496864181643
SaleType_ConLI,-0.0037555698556869677
SaleCondition_AdjLand,0.003697381929087605
BedroomAbvGr,0.003691058045442574
MSZoning_RH,0.00368425819993007
LotConfig_FR3,-0.0036583765667919594
BsmtQual_TA,-0.003642489754500381
Electrical_FuseP,-0.003617767791136082
FullBath,0.0035938061983157125
TotRmsAbvGrd,0.0035326987799011635
LotConfig_Inside,-0.0035278240063699694
Neighborhood_ClearCr,0.00343035594423343
GarageQual_Gd,0.0033929749634729763
HouseStyle_2.5Unf,0.0033822789280393297
SaleType_COD,-0.003364886833521123
KitchenQual_TA,-0.003312465217811797
FireplaceQu_Po,0.003302993542156047
Street_Pave,0.003239999255108366
Street_Grvl,-0.0032399992551082977
Condition1_PosN,0.0032391610279629526
Neighborhood_Sawyer,-0.003224375404965424
ExterCond_Ex,0.003150360725078954
ExterCond_Gd,-0.0031333240310259594
GarageCond_Fa,-0.0029975570505304705
Exterior2nd_Other,-0.0029560516039033842
FireplaceQu_TA,0.002907144696422091
Exterior1st_HdBoard,-0.0028540393431740647
Exterior2nd_VinylSd,0.002838561056362906
Neighborhood_CollgCr,-0.002825876606975313
Exterior2nd_HdBoard,-0.002802792875598893
SaleType_Con,0.002712421543805743
GarageQual_Po,-0.0027003802510407937
SaleCondition_Family,-0.0026599171345792596
GarageQual_TA,0.0026359964571257624
BsmtQual_Gd,-0.002612448555226546
HouseStyle_1.5Unf,0.0026082127283225537
MasVnrArea,0.0025887517273640477
Id,-0.0025347398371264366
Electrical_FuseA,0.002519799170809945
Utilities_NoSeWa,-0.002505683056461331
Utilities_AllPub,0.002505683056461286
LotShape_IR2,0.002498458117096044
YrSold,-0.002448033292634562
Electrical_Missing,0.0023901413117937446
GarageCond_Gd,0.002382386743592972
Exterior1st_AsbShng,0.0023623154884360124
HeatingQC_Po,-0.0023503753615011207
PavedDrive_P,-0.0023337837232307902
LotConfig_Corner,0.002330469961463443
GarageFinish_RFn,0.0022950531468566354
BsmtCond_TA,-0.0022847583551199287
SaleType_CWD,0.0022349817693257893
Condition1_PosA,-0.0021870485780413483
Condition2_RRAn,-0.0021525678885520555
Exterior2nd_Plywood,-0.0021451336790194488
FireplaceQu_Fa,-0.0021374870169119094
PavedDrive_Y,0.002074186007687269
SaleType_Oth,0.002065851412637231
GarageFinish_Unf,-0.0020263168973216473
Condition2_Norm,0.0020071295262305325
GarageType_CarPort,0.002000314915471825
LandContour_HLS,0.0019218674406678085
RoofMatl_CompShg,-0.0019193408171891083
SaleCondition_Alloca,0.0019187398544497384
FireplaceQu_Ex,-0.0018932502220428762
LandSlope_Gtl,0.0018898716483636401
Neighborhood_SWISU,0.0018850673292529615
LandContour_Lvl,0.0018285448780568092
Exterior1st_Stucco,0.001814124274149476
Condition2_Artery,-0.0017933312356153159
Electrical_SBrkr,-0.0017323071461142567
BsmtCond_Gd,-0.0017288799172117987
HouseStyle_SFoyer,0.0015703045528163858
RoofStyle_Gable,-0.0015516685069036536
RoofMatl_WdShngl,0.0015250596633770283
Condition1_RRAn,-0.0015201763200900706
GarageFinish_Missing,-0.0014933879696766884
GarageType_Missing,-0.0014933879696766884
GarageCond_Missing,-0.0014933879696766867
GarageQual_Missing,-0.0014933879696766572
Condition1_RRNe,-0.001475923660743996
HeatingQC_Gd,-0.0014591585842297647
Exterior1st_Plywood,-0.0014183095255774804
Condition1_RRNn,0.001364343232231468
Foundation_CBlock,-0.001353714695785881
Neighborhood_Gilbert,-0.001337614802148863
Heating_OthW,0.0013372418531341964
GarageCond_TA,0.0012550587390508326
Exterior1st_VinylSd,0.0012480408685081532
RoofStyle_Flat,0.0012427472675994428
LotShape_IR1,-0.0011907223546894895
Electrical_FuseF,0.0011726139555960982
Exterior2nd_Stucco,-0.0011112748314625973
Neighborhood_Blueste,-0.0011088073468305962
Exterior2nd_CBlock,-0.0011051269208407141
Exterior1st_CBlock,-0.0011051269208407072
Neighborhood_Timber,0.0010772616463203552
GarageType_Detchd,0.0010687392136081034
Exterior1st_Stone,0.0010558363691889451
Exterior2nd_Brk Cmn,0.0010465507851636687
Exterior2nd_Wd Shng,-0.0010311384209482286
BldgType_Duplex,-0.0010133169268744663
PavedDrive_N,-0.0009919331743906317
GarageType_Basment,-0.0009891136502480939
GarageType_BuiltIn,-0.000975205515280797
RoofStyle_Hip,-0.0009579305191706414
BsmtFinType2_Rec,0.0009425916890215206
BsmtHalfBath,0.0009398627360555113
GarageType_Attchd,0.000878616644457807
ExterQual_Gd,-0.000865595693714037
BsmtFinType1_BLQ,-0.0008417903434494143
BldgType_1Fam,0.0008291442790303765
Functional_Min1,0.0007734951281918824
Neighborhood_Blmngtn,0.0007730943648380471
MoSold,-0.0007653808441718934
BsmtExposure_Mn,-0.0007241001047879666
ExterQual_Fa,0.0007042300767284974
GarageFinish_Fin,0.0007026331416740677
RoofMatl_Roll,0.0006699850664567543
ExterQual_TA,0.0006611803041050805
RoofStyle_Gambrel,-0.0005665251438790211
Neighborhood_IDOTRR,-0.0005429898147917092
HouseStyle_2Story,-0.0005231097792970305
RoofMatl_Tar&Grv,-0.000520945499616485
Exterior1st_WdShing,-0.0005122280128139235
Exterior1st_ImStucc,0.00048739179081890797
Neighborhood_SawyerW,-0.0004117527814463187
KitchenQual_Fa,0.0003979594224451837
Neighborhood_NPkVill,0.00037570112015702754
Condition2_RRNn,0.0003704435497544035
ExterCond_Po,-0.0003235977805156414
BsmtExposure_Av,0.00030711120587182793
BsmtQual_Fa,-0.00030085065126807774
LotShape_Reg,0.0003004207381083271
SaleType_ConLw,0.00029962016390309813
Exterior2nd_ImStucc,-0.00028871543709765683
Exterior1st_AsphShn,0.0002551375275969565
Heating_GasA,-0.00018098670539451554
BsmtFinType1_ALQ,0.00013879339088507855
LandContour_Bnk,0.00012097580670245023
ExterQual_Ex,0.00010600178779529394
Functional_Min2,9.318958556727309e-05
Exterior2nd_AsphShn,-7.022854121080998e-05
BldgType_TwnhsE,-6.880446133459986e-05
LotShape_IR3,2.7119193903919325e-05
HeatingQC_Fa,2.6284876702511485e-05
MiscVal,-3.5566878664470072e-06
BsmtFinType2_LwQ,-9.511349873866232e-07
RoofMatl_ClyTile,-4.7704895589362195e-18
